Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,086338,2013,null,null,null,null,null,14.9,15.7,16.3,19.5,19.1,20.8,23.7,null
IDCJAC0002,086338,2014,27.3,27.1,24.4,20.6,19.0,15.4,14.5,15.4,18.5,21.7,22.7,23.9,20.9
IDCJAC0002,086338,2015,25.9,26.4,22.7,19.2,17.1,14.4,13.3,13.8,17.3,24.3,22.7,27.5,20.4
IDCJAC0002,086338,2016,26.0,25.1,24.9,22.4,18.6,14.2,14.6,15.9,16.7,19.3,20.8,25.5,20.3
IDCJAC0002,086338,2017,26.5,25.9,26.9,20.8,17.2,14.9,14.5,14.8,17.8,20.7,25.9,25.0,20.9
IDCJAC0002,086338,2018,27.2,27.0,24.9,21.8,17.6,14.3,14.8,15.1,17.2,21.4,22.0,25.7,20.7
IDCJAC0002,086338,2019,28.4,26.0,24.8,22.0,17.8,15.5,15.0,14.5,17.8,21.3,21.8,24.6,20.8
IDCJAC0002,086338,2020,26.9,24.4,22.9,19.3,16.4,14.9,14.0,15.1,18.1,19.1,24.5,22.9,19.9
IDCJAC0002,086338,2021,25.2,24.5,22.0,null,null,null,null,null,null,null,null,null,null
