Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,086338,2013,null,null,null,null,null,6.9,8.2,9.2,10.9,10.9,12.0,13.9,null
IDCJAC0004,086338,2014,16.5,16.3,14.8,12.9,11.0,9.6,8.4,7.6,9.8,11.0,12.7,14.8,12.1
IDCJAC0004,086338,2015,15.9,16.7,13.1,10.6,9.8,7.7,6.8,7.9,9.1,12.3,13.0,15.1,11.5
IDCJAC0004,086338,2016,16.7,16.5,15.8,13.0,11.4,8.0,8.2,8.4,10.1,10.0,11.7,14.6,12.0
IDCJAC0004,086338,2017,16.4,14.8,16.4,12.3,9.2,6.8,6.6,7.4,9.0,11.1,14.9,15.2,11.7
IDCJAC0004,086338,2018,17.3,16.6,14.6,12.3,10.5,6.8,7.8,7.2,8.1,11.2,12.5,16.0,11.7
IDCJAC0004,086338,2019,17.5,15.8,15.2,12.0,10.6,8.3,8.2,7.4,9.1,10.7,11.2,14.0,11.7
IDCJAC0004,086338,2020,15.1,15.9,13.9,11.6,8.7,7.2,7.1,7.6,9.8,10.9,14.0,13.1,11.2
IDCJAC0004,086338,2021,15.4,14.9,13.6,null,null,null,null,null,null,null,null,null,null
